obs1	obs2
0.0991892	0.432365
-0.136603	1.06992
-3.94757	0.371675
0.51857	3.54919
0.544672	0.316828
0.616019	0.502772
2.20131	-0.323862
-0.446353	0.76951
0.146174	0.0153453
0.644732	0.101038
0.0835282	-1.88995
0.572515	-1.196
-0.620369	-0.469374
0.334112	-0.808767
-2.17347	0.559639
-0.696937	-0.156157
-1.05628	-0.194859
0.398498	-0.0586714
-0.0182716	-0.593597
-0.298439	-0.111928
0.182718	-0.79613
-0.0548153	-0.69283
-0.472455	-0.00180378
-0.300179	-0.75822
-0.458534	-0.518117
0.31932	0.270637
-0.125292	-0.0812383
0.155745	-0.240867
-0.31149	0.0126371
0.331502	0.237395
-0.396978	-0.338297
-0.857902	0.234687
0.563814	0.943262
0.127032	0.144339
-0.10093	0.207608
-0.447223	-0.729335
-0.529011	-1.7014
0.227962	3.58774
0.120072	2.73975
-0.650313	1.01547
-0.693456	-0.0496168
0.221124	0.678396
0.780464	0.111928
0.172277	0.99742
0.193266	0.3825
0.825709	0.292457
-0.51857	-0.546099
-0.242753	0.7226
0.150525	0.902641
0.534231	2.09774
0.977103	0.0379112
0.285388	0.135319
0.21404	-0.257253
0.469845	-0.505188
-0.117461	-0.0983884
0.296698	-0.0541278
-0.174886	-1.48485
-0.741311	-0.0117342
-0.145304	1.25919
-0.416769	-1.31876
-0.571645	0.217411
0.00609013	-0.0514213
0.276686	1.52998
-0.142693	-0.22205
-0.023492	-1.01579
0.404589	0.0532559
-0.296699	-0.226563
-0.031323	-0.100135
-0.475935	-0.169697
-0.455923	0.207488
-0.0487247	-0.748762
-0.0269726	0.73114
0.266245	-0.26342
-0.228832	1.2314
0.298604	-0.138104
0.133122	-1.38927
-0.137473	-2.23907
-0.244493	-0.64141
-1.47827	-0.723919
-1.14938	-0.152459
0.336722	-0.846678
-0.557723	1.12469
-0.137473	3.56092
-0.797438	-0.0343008
1.03018	0.288845
0.039154	-0.25274
0.801346	0.260864
-0.0313229	1.41534
0.756973	0.648098
0.157485	5.33191
1.31295	6.29954
2.38229	2.71268
5.10913	1.44069
5.29532	0.310509
4.02413	0.234552
1.82021	1.27543
1.34515	0.571946
1.51217	-2.23223
1.393	-0.648097
0.482026	-1.45686
-1.93767	-0.315924
0.224482	-2.68472
-0.633421	1.17434
-1.46174	-0.121857
0.361955	-0.768609
0.442872	0.0830436
-0.547282	0.516312
-0.408939	-0.912948
-0.449833	-0.725307
-0.376746	-0.262668
-0.351513	0.439587
-0.494207	-3.35783
0.220131	-0.304918
-1.16765	-1.31425
0.173146	-0.802889
-3.29326	-0.318449
-0.586436	-0.205684
-0.361954	-0.308526
-1.26684	3.65029
0.442872	2.48227
-0.618629	5.10535
-0.121811	1.23933
0.740852	0.455835
1.5618	0.453768
1.29714	-0.0794322
3.73092	0.658026
1.16504	-0.0893611
0.527271	0.34842
0.0574252	-0.0351823
0.918807	-0.483816
0.442002	0.0938752
0.145304	0.126297
-0.703027	-0.986588
-0.857032	0.877368
-0.623849	0.251837
-0.907497	1.03262
-0.0339333	-0.671566
-0.750882	-0.0324765
-0.117461	0.335783
0.178367	-0.366262
0.350643	0.109156
0.301049	-0.139007
-0.188808	0.706362
0.652562	2.96608
0.437651	3.84435
2.28745	6.44487
0.52814	2.17953
0.850072	0.693229
2.4197	0.335783
4.84897	-4.06099
6.12104	-1.40551
3.75354	-0.304015
1.44695	0.172405
1.21986	0.0487431
-4.42089	0.423095
-0.475935	-0.121856
-0.167056	-0.451321
0.259285	-0.337394
-0.121812	0.149839
0.506388	1.0254
0.557723	-0.906253
-0.392407	-0.730719
-0.791775	-0.226563
0.742181	4.1007
0.825709	1.44159
-1.12067	-0.250935
-0.512479	0.245518
-0.479416	0.0956797
1.41301	0.26342
1.09891	0.0234687
-0.369991	-0.0721695
0.086138	0.00992857
-0.542932	0.303287
-0.196639	2.53643
-0.653432	0.650431
-0.255805	0.361752
0.170537	0.546098
0.443742	-1.12044
3.03137	0.198581
0.822228	-0.151643
-0.168796	-1.10303
-1.40257	0.417683
0.271466	0.455834
-0.552503	0.0144419
1.05367	-0.410702
0.722169	-0.406189
0.044374	-0.714893
-0.757842	0.0487428
-0.516829	0.406189
0.41503	-0.0730722
0.00522052	0.472984
-0.10702	0.0694635
-0.511609	-0.434171
0.437652	-0.356543
-0.244493	0.141633
0.331502	0.187641
-0.270746	0.319535
-0.455054	-0.370083
-0.255076	0.756881
0.0391537	-1.00374
0.0452443	-0.0767251
0.172276	-1.07623
0.10006	-0.855212
-0.793516	-0.928819
0.548153	0.912045
-0.750012	-0.270793
0.991024	0.0622821
-0.312359	-0.129981
0.504648	-0.786202
-0.299309	-0.44049
-0.428951	-0.341905
-0.0200122	-0.293359
0.279297	0.228238
-0.438522	1.00645
2.10995	0.447453
-0.0687363	0.129078
0.174017	0.383622
-0.0974489	-2.89658
0.551632	-0.700949
-0.555983	0.459445
0.262765	0.137202
-2.05166	1.96144
-0.0130516	2.4664
0.264505	0.477223
-0.139213	-0.0974297
-0.281037	-0.38272
0.0287129	0.532253
-1.04932	0.527143
-0.388057	-0.0523228
-0.290608	0.760928
0.531621	-0.567762
-0.0896683	0.316645
0.515089	-1.67079
0.288867	-0.171502
0.737831	-0.377087
-0.476805	-0.686516
-0.443742	-1.35577
-0.138343	0.276952
-0.588176	0.606226
0.478546	0.215732
-2.15955	-1.39458
-2.57632	0.286138
-0.401978	-0.635997
-0.126162	1.54893
0.162706	-0.117276
0.0748269	0.352934
0.428951	-0.559638
0.0765674	-0.151644
1.56093	-0.544293
0.451573	0.100136
-0.643861	0.308703
-0.462884	-0.206705
0.094839	0.0794325
0.918808	0.177821
-0.935339	0.169599
0.385447	-0.258155
-0.167056	-0.695035
0.541192	-0.14352
-0.634291	1.31334
-0.205453	0.037911
0.401978	0.613444
1.65577	-0.13171
-0.409809	-0.278916
-0.512479	-0.806962
0.401109	-0.102901
-0.0809177	0.746486
0.414159	0.0586713
-0.389797	1.43618
1.14503	0.223856
-0.243623	-2.03699
-0.0095707	-1.13733
-0.288867	0.575555
-0.0643862	0.415215
-0.370655	-0.827246
-2.02903	0.87957
0.382837	-0.587282
-0.347163	-1.32869
-0.411549	0.545784
1.10326	-0.679298
0.584696	-5.21968
-1.09256	0.934235
0.0504647	-0.336686
1.21116	0.338491
0.119201	-3.40912
0.475066	-0.550612
-0.579475	-0.348219
-2.18913	1.47046
-5.22572	4.35996
-0.303659	4.29748
0.184457	1.69968
0.6282	1.39729
3.91363	0.018956
4.59578	-0.37911
1.38256	0.542176
0.906626	0.902642
-0.129642	0.0811909
0.875303	0.389717
0.684755	0.362653
0.448963	0.212121
-0.666484	-0.189555
0.21491	-0.449516
0.807437	-0.358143
0.268856	1.10483
-0.00783055	-0.32134
0.0896188	0.044229
-0.604707	-0.163284
0.296698	-0.290651
-0.202842	-0.492842
0.20534	-0.912948
-0.163576	-0.0442293
-0.637771	0.247182
-1.01974	-0.164281
0.52727	0.413172
-0.455053	-0.417923
-0.470715	0.0460351
-0.116591	-0.469374
-0.127902	-0.701851
-0.750881	-2.4272
-0.0278427	0.363555
-0.657783	0.583107
-0.0130512	0.716286
-0.255804	-0.886786
0.160965	0.0730725
-0.578605	0.0595741
-0.435283	-0.649528
-0.353254	0.42039
0.566424	-0.595744
-1.6375	0.262669
-0.0878782	0.947229
0.724779	0.593597
0.669094	0.603868
0.200119	-0.403481
-0.186198	-0.150655
0.577735	-0.885492
-0.327151	-0.342101
-0.354994	-0.437781
-0.188808	0.0532254
0.534231	0.577691
0.271466	0.145325
-0.182717	0.0793873
1.21116	-0.316827
0.120071	-0.0451066
-0.354994	-0.258909
0.42286	0.261766
0.254934	0.776273
-0.501168	-0.271539
-0.050465	-0.201289
0.0965791	-0.561444
-1.3321	-1.60668
-0.120941	-1.0194
-2.70161	-2.72417
-0.255804	1.11322
0.642121	0.629682
2.13866	0.32296
-0.401108	-0.724821
-0.600357	-0.745582
0.167926	-0.217536
0.263635	-0.0848487
0.577735	0.767247
-1.64968	-1.80167
0.271466	0.158774
-0.0582957	-0.0622826
0.0513347	0.0640875
0.294959	0.221021
-0.0522338	-0.0595405
0.217521	-0.0279821
-0.450703	0.31412
-0.42634	-0.301309
-0.267115	0.174109
0.326281	-0.107352
-0.435041	0.290651
0.216651	-1.03262
-0.367175	0.0929721
0.389797	0.320253
0.0287126	0.100136
-0.373265	-0.316827
-0.0957091	-0.0866536
-0.462884	-0.125395
-0.572515	0.347518
0.337592	1.41805
2.02816	0.378207
0.182718	0.16148
-0.213171	-0.215732
-0.408939	0.381598
0.919678	0.0505184
-0.128772	-0.0153449
0.570775	-0.120954
0.412419	-0.475693
-0.109631	0.374381
0.298438	0.37911
-0.0809175	0.190457
-0.582086	0.0306896
-0.257544	0.385428
-1.9107	0.349122
1.00495	0.47118
1.18679	-0.479303
-0.408069	-0.786651
0.214911	0.802449
-0.349774	-0.242811
1.32862	0.759123
-1.24683	-1.30357
-0.388927	-1.96686
-0.21503	-0.241006
-1.17896	-1.54353
-2.95654	-1.56879
-1.35298	0.0586718
-0.151395	-0.371675
-0.958831	0.52263
0.505799	-0.618856
-2.05688	-0.562346
-0.364565	-0.82321
0.0226222	2.00181
2.35662	-0.235454
0.0904887	0.663442
-0.1018	2.09924
1.35907	0.20388
0.496817	-0.491038
-0.0635163	0.651708
-0.234923	-0.176918
0.341073	0.478125
-0.0809177	0.488048
-0.100929	1.07172
1.62009	0.255301
-0.162705	0.3401
-0.0182716	-0.140812
-0.544672	-3.17189
-2.36489	2.42851
-0.30975	4.48445
4.08939	0.633655
0.698677	1.20343
1.32253	0.475418
0.744791	-0.950838
0.411549	0.762294
2.89825	0.622824
1.66969	-0.448355
0.368045	-0.226563
0.243624	1.14004
0.443742	1.44242
0.301049	1.26027
-0.246234	-0.459445
0.280167	-0.268084
-0.783945	0.880075
-0.0426339	-0.556028
-2.61721	0.207608
-1.41737	-0.421292
-0.185328	-0.268833
-0.611668	-3.71765
-4.54792	-1.91972
0.31062	0.923774
-0.528141	-1.25756
0.567609	-0.201289
1.64707	-2.57073
1.6897	-1.8692
1.26423	0.945968
0.417639	-0.885492
0.903145	-0.993809
0.629939	-0.964925
-1.4948	-1.99099
0.653432	-0.380013
-0.295828	-0.793422
-1.41737	-3.1033
-2.10125	-1.00464
-3.2428	-0.0875565
1.30773	-0.639605
-1.66012	-0.309606
-2.11952	0.288845
2.123	-1.99123
4.06503	-0.454932
-2.1552	1.35487
-4.51138	1.51193
-1.29816	0.732523
-0.576865	0.687813
-2.36228	1.01999
-2.16999	0.844873
-0.73174	-0.0757782
0.812657	1.72766
0.0504649	1.04015
-0.360214	0.362862
-0.116591	0.564729
0.153135	0.0595405
-0.201859	-0.93911
0.897925	3.40887e-07
0.852682	0.0225659
-0.141823	0.644487
-0.289737	0.755979
0.562943	0.943619
0.855292	0.698645
1.42346	1.08136
-1.09108	1.25196
-0.0130514	-0.0929181
-0.113981	-0.123662
0.645602	0.626433
-0.981999	-0.0117345
-1.69927	0.29697
0.20708	1.0597
-0.0208818	-0.277111
0.490727	0.481109
-0.62907	-0.451321
0.347163	1.742
0.0121812	2.27375
0.00522045	3.09969
0.0556854	0.318449
-0.782205	0.0974858
-0.158355	0.818697
-0.153135	-0.158865
-0.168796	-0.258909
0.557723	0.560217
1.59747	-0.185042
0.484636	0.503385
0.955351	0.501869
-0.170537	0.229271
-0.397628	-0.129077
0.518569	0.427852
1.55745	0.522329
0.562073	1.4361
1.01191	0.299677
1.40431	0.320438
1.70275	-0.431463
0.392407	-0.698645
0.112241	-0.0252744
1.76975	0.00722102
3.583	0.534364
2.64505	-0.184139
0.897055	0.325853
0.817878	0.033398
0.221001	-2.01289
0.657277	-0.519921
0.147914	-0.712185
-0.345423	0.547588
-0.324541	0.493746
0.0408941	-0.0333975
-0.470715	0.161573
-0.159225	0.071309
-0.41938	-0.233785
-1.04671	-0.734328
0.0817878	-0.762733
-0.971883	-0.0270636
0.493337	-0.953544
-0.725649	0.484719
-3.60823	-3.02572
-1.05802	-0.169599
-0.148867	0.70406
-0.512479	0.761392
-0.0930987	-2.36176
0.739571	1.05338
0.290608	0.296969
-0.268856	-0.352933
-0.236662	0.107352
-0.776984	0.157962
-1.11719	0.629142
0.334982	0.626434
0.255804	-1.00226
0.866603	-0.403481
-1.15982	-0.296798
-0.382836	0.0505481
0.172276	-1.07804
0.648572	-0.359947
-0.559774	0.0189559
0.666854	-0.550612
1.39996	-1.09788
1.79411	0.183131
-0.483766	-0.548491
0.863123	-1.66086
-0.296698	-0.26989
0.62646	-2.77201
0.422861	0.503675
-0.924898	0.180424
-0.138343	0.426704
-0.574255	0.213023
-0.744791	0.759122
-0.2123	-0.446808
-0.173147	-2.18675
0.432431	-0.406189
0.10093	-0.475693
0.21317	-0.473887
-1.33993	-1.14997
-1.59486	0.106512
-0.473325	-0.608381
-1.00234	1.86035
0.473325	3.28201
-0.332372	6.18671
0.0722167	3.1448
-0.279297	1.88652
0.177497	1.40993
0.616019	3.13217
-0.622109	5.25248
0.294088	1.31981
0.294088	2.37168
1.49132	1.2312
1.10501	0.943261
-0.42286	0.844873
0.642991	1.47046
0.408939	2.7675
-0.163576	4.38143
-0.21143	2.96528
-0.053945	3.56724
0.833539	5.37343
0.305399	2.41769
0.579475	1.0236
3.38027	0.762733
0.493337	-0.190457
0.649442	-0.0595402
0.850941	0.176816
0.21491	1.77189
0.516829	-0.60477
-0.163667	-0.723016
0.10615	0.364667
0.958831	-0.959859
0.648212	-0.774022
0.00522067	-0.965827
0.0487245	-0.41341
0.469845	-0.199369
-0.243623	0.184033
0.510739	0.0189443
-0.375006	-0.233784
-0.124422	-0.496453
-0.541191	0.180425
-0.984934	-0.244616
-0.176627	0.071309
-0.414159	-0.105549
0.615149	-0.028868
-0.612538	-0.148033
-0.827449	-1.66447
-0.349773	-0.149839
-0.179237	0.354738
0.272336	-0.00361107
0.791344	-0.2392
0.121812	2.09834
-0.352384	-1.3657
-0.0182718	-0.434171
0.0957092	0.532558
-0.361085	1.05248
-0.119201	0.989629
0.485506	1.63735
0.177497	0.671178
-0.351514	-2.48678
-0.116591	-0.500966
0.0774372	-0.491657
0.175757	0.0893614
0.254934	0.0722112
-0.0643861	-0.107352
-0.340203	-0.178723
2.01598	0.159768
-1.95682	-0.565054
-0.0704767	-0.231845
0.621239	0.645018
0.462014	0.741973
0.430691	-0.215731
0.332372	-1.02842
-0.0504647	0.0758224
-1.33993	0.00180475
-0.0217521	0.951384
-1.87851	2.42991
0.463755	0.0225657
-0.346293	0.472081
-0.622109	0.260863
-0.540321	-0.924676
-0.266245	-0.499162
0.587306	0.583673
-0.243623	-0.0803355
-0.566424	0.712677
0.73435	-0.381818
-0.489857	0.335783
0.368915	-0.540683
-0.231442	-0.812378
1.01191	-0.300407
-0.186198	-0.217412
-0.0234921	0.764098
0.552503	2.73794
0.686495	4.93822
2.79036	3.53023
